interaction_id,student_id,resource_id,intent_goal,current_confidence,completion_rate,feedback_label
int_77c5aea86585,stu_f1566e12,res_8d34257b,Daily Revision,Strong,84,Perfect
int_c3bbb58b1f17,stu_33f36eed,res_dc0b809d,Homework Help,Strong,37,Too Slow
int_a2b149d87768,stu_753c2242,res_7dc9be65,Homework Help,Weak,73,Too Hard
int_0727d8e87cea,stu_08c606f6,res_9ef5fa84,Daily Revision,Strong,78,Too Slow
int_fcaeab7bd339,stu_b3222bca,res_54d4a52b,Homework Help,Strong,56,Too Hard
int_8a5c779b7ad2,stu_5a7ee7e0,res_41c65401,Board Prep,Weak,96,Perfect
int_9049031fa618,stu_a0171c30,res_5e66b1cd,Daily Revision,Weak,92,Perfect
int_54372ce6bd0c,stu_9d6ce204,res_00cd2e17,Daily Revision,Strong,77,Too Slow
int_09c54e525006,stu_f99e97e8,res_a97135df,Daily Revision,Average,69,Too Hard
int_035c973c6061,stu_e0ddaf4a,res_e683478f,Homework Help,Average,91,Perfect
int_19b2ac216fba,stu_5a9ede57,res_b6d6f80a,Daily Revision,Weak,81,Perfect
int_68fd6f5d2177,stu_1568975f,res_c27cf80a,Homework Help,Average,86,Perfect
int_080e08b0c7df,stu_d827d6a1,res_8b61d8d9,Daily Revision,Average,64,Too Hard
int_40e417a1fe5c,stu_915f0316,res_e1059f4e,Homework Help,Weak,80,Perfect
int_e71c3051bb1d,stu_1019d677,res_28d06671,Homework Help,Average,80,Too Hard
int_9da0c79ffc05,stu_86d154cb,res_279f0249,Board Prep,Strong,84,Too Hard
int_30e321cc3d48,stu_0f7b7820,res_e311f097,Board Prep,Average,85,Too Hard
int_cf06ad78d968,stu_b359e267,res_dc95bb09,Daily Revision,Average,67,Too Hard
int_d90bd3f95af8,stu_1dab2dc9,res_f1a54713,Daily Revision,Weak,12,Too Hard
int_bd45e5111c8a,stu_9d50d665,res_ecc7244d,Homework Help,Strong,96,Perfect
int_53c9044a8178,stu_1388049d,res_e23ad809,Board Prep,Strong,74,Too Slow
int_6bda242cbc8f,stu_53ddfdf4,res_eaace8cf,Daily Revision,Weak,69,Too Slow
int_eb2629c97cad,stu_43923376,res_6ee650b3,Daily Revision,Average,82,Perfect
int_e13946b9a9fc,stu_fc81f338,res_b1608953,Homework Help,Average,70,Too Slow
int_ce49bf110bc2,stu_1019d677,res_f52d18b1,Daily Revision,Weak,97,Perfect
int_0285b55cff3a,stu_2e24ad70,res_8f7770e4,Homework Help,Average,96,Perfect
int_e7593adc8dea,stu_12b350ec,res_58060565,Daily Revision,Weak,41,Perfect
int_79824653cdb6,stu_e73f8efc,res_4acb3743,Board Prep,Weak,93,Too Hard
int_b97abc97f17f,stu_2f3416e8,res_d29d4300,Board Prep,Strong,66,Too Hard
int_b711507d63cf,stu_a39633c1,res_0b6c67e0,Daily Revision,Strong,80,Perfect
int_fd388a9cd6fe,stu_6e0aed4f,res_88c46d6d,Homework Help,Weak,30,Too Hard
int_4cd4c6d544bf,stu_8b1d4c94,res_9b0bf4e6,Homework Help,Average,55,Too Slow
int_cd3a1eb4949e,stu_8f340aa1,res_7b7f729b,Daily Revision,Strong,91,Perfect
int_7b20054ee034,stu_0c14e3fc,res_57763c84,Homework Help,Average,90,Perfect
int_62d49b56e0a2,stu_ca85045b,res_6c48c4cd,Board Prep,Average,79,Perfect
int_332d5f6d5ae4,stu_8ab4e0fe,res_433448a2,Daily Revision,Average,91,Perfect
int_bcb58c1a1945,stu_51d7da6c,res_433448a2,Daily Revision,Weak,83,Perfect
int_aa677c4d3da8,stu_ea63736c,res_a93bf535,Homework Help,Strong,74,Too Hard
int_45e02338cb85,stu_ba698534,res_06f57c6e,Homework Help,Average,100,Perfect
int_268326ea6875,stu_c201ea78,res_7c25d4ea,Daily Revision,Average,78,Perfect
int_bc070d694fa1,stu_62638213,res_e9ad0a84,Homework Help,Strong,61,Too Slow
int_9e673eaf87d2,stu_01a6caab,res_dbb6e159,Daily Revision,Weak,84,Perfect
int_c913b5343594,stu_0c857bce,res_af11375e,Board Prep,Weak,88,Perfect
int_131aafe1c7a2,stu_56e5792c,res_9210a6d1,Daily Revision,Strong,52,Too Slow
int_3e300079c447,stu_33374d7f,res_a434e551,Daily Revision,Weak,20,Too Hard
int_e55dc5dc21be,stu_d441e1bc,res_c3a55450,Homework Help,Strong,53,Too Hard
int_445d99b5911f,stu_44a89ba8,res_afb5b6a6,Daily Revision,Average,82,Perfect
int_b1d862b5d2d9,stu_fc403571,res_a78718e5,Board Prep,Strong,61,Too Slow
int_33bc673858f0,stu_11f808a4,res_a179726b,Board Prep,Strong,75,Too Slow
int_3041b6a4cd92,stu_5c0ad06e,res_23bb9a99,Board Prep,Average,87,Perfect
int_8a74cc5ead7d,stu_d19a262c,res_a03a5cc2,Board Prep,Average,59,Too Slow
int_1eb6d3643310,stu_92ba4f0a,res_47440a22,Board Prep,Average,55,Perfect
int_af2f3c2b6a14,stu_c504be22,res_d7ec80a5,Homework Help,Weak,99,Perfect
int_8a05c7710708,stu_12ff423f,res_7924928f,Daily Revision,Average,85,Perfect
int_847eedd25bc4,stu_d0174c29,res_3baa9470,Daily Revision,Strong,93,Too Slow
int_ef4dd9ab3928,stu_87d4aebe,res_5b4c8f7c,Board Prep,Weak,88,Perfect
int_f0c58d85c8e6,stu_6841eae2,res_2bd80769,Board Prep,Average,80,Perfect
int_6af39e0d3f8b,stu_bc388927,res_ea27e42c,Board Prep,Weak,43,Too Slow
int_2b14206a7b4a,stu_901e84ca,res_dded2cd2,Homework Help,Strong,69,Perfect
int_25937671fa76,stu_9d422e29,res_b5e3ec4d,Daily Revision,Weak,84,Perfect
int_6ee98e152e97,stu_4d7ad841,res_f1a54713,Homework Help,Strong,99,Perfect
int_a5e3b63fdee8,stu_23e9374d,res_d1f72e21,Daily Revision,Average,88,Perfect
int_f5e5d5d20f42,stu_950e6a17,res_f8183999,Board Prep,Weak,87,Too Hard
int_79a186acb920,stu_1dc57568,res_9bf9f0f1,Homework Help,Weak,70,Too Hard
int_8cd55f51cba9,stu_c7afb6a5,res_54a87f64,Daily Revision,Average,96,Perfect
int_ff2532101442,stu_9c7363c7,res_02e3d526,Homework Help,Strong,78,Too Hard
int_45612856b51c,stu_a22b93c3,res_cc0dcd1d,Board Prep,Weak,78,Too Slow
int_27ec46d4440f,stu_e1945007,res_63fbf29e,Homework Help,Average,58,Perfect
int_7b1806f0e019,stu_2bc8044a,res_a0b3d1cc,Homework Help,Strong,95,Perfect
int_e808956010c5,stu_277f0d9f,res_9424d36f,Board Prep,Average,73,Too Slow
int_8d9e21999604,stu_7d1fa7c1,res_e618865e,Daily Revision,Strong,63,Too Hard
int_164a6e0856f7,stu_f84d78a6,res_f112e89c,Homework Help,Strong,37,Too Slow
int_b0cbdb7ed3f6,stu_ef4d09d1,res_35fa0580,Daily Revision,Weak,95,Too Hard
int_7024b801366e,stu_41a85e1e,res_0eb75aab,Board Prep,Average,68,Perfect
int_36a512ec045a,stu_18d5a583,res_bac3dc39,Daily Revision,Strong,87,Perfect
int_8c3440e70a9a,stu_ff399760,res_03c2ddf6,Daily Revision,Average,79,Too Slow
int_eeb1edd8ab01,stu_39332217,res_5743c6f4,Daily Revision,Average,92,Perfect
int_8ca7f1f4a089,stu_b6be928d,res_9b4ee9d6,Board Prep,Strong,66,Too Slow
int_ed8c16bc4028,stu_ada4e690,res_a5a3bcc0,Daily Revision,Strong,37,Too Slow
int_e1dfe0b1a565,stu_87d4aebe,res_55609773,Daily Revision,Average,80,Too Hard
int_ca874312bf34,stu_1ac563e5,res_385c1bcb,Daily Revision,Strong,84,Perfect
int_d8b1f2113844,stu_346b43b9,res_c81c6a2f,Homework Help,Weak,44,Too Slow
int_e6aa1d41588b,stu_2a167cc9,res_4d9a8882,Daily Revision,Strong,40,Too Slow
int_989a640ebeb1,stu_250a19fb,res_cb9477b5,Daily Revision,Average,80,Perfect
int_ce42bd035170,stu_487ce82a,res_f6083ecf,Homework Help,Average,75,Perfect
int_cddd25f558fc,stu_5e2417dc,res_6de47c22,Board Prep,Strong,72,Too Slow
int_25fa6fd69e31,stu_be12bb88,res_0094ac58,Board Prep,Weak,29,Too Hard
int_902f15d944bc,stu_450a8db3,res_ec234d15,Board Prep,Weak,80,Perfect
int_171bca727f7d,stu_4bde34fe,res_4d9a8882,Homework Help,Weak,92,Perfect
int_aaf598a3d0c7,stu_610c7182,res_a803ebbb,Homework Help,Weak,30,Too Hard
int_628d3b8edc7c,stu_0c14e3fc,res_e618865e,Daily Revision,Strong,86,Too Slow
int_4441b44f813a,stu_f6871d18,res_cb9e35f7,Homework Help,Strong,42,Too Slow
int_bce2ca391f89,stu_a0c7ddad,res_3eefffc0,Homework Help,Weak,24,Too Hard
int_d03e17f36971,stu_17beada5,res_ba5a4237,Daily Revision,Strong,95,Perfect
int_a08b95a62403,stu_c16fec3b,res_c3d994d5,Daily Revision,Weak,85,Perfect
int_67c2965dd82d,stu_5554445e,res_325ba9e7,Homework Help,Weak,64,Too Hard
int_6f1c7aa3f2cc,stu_5c0ad06e,res_165136eb,Daily Revision,Strong,63,Too Slow
int_404d4f58b1c6,stu_5a9ede57,res_ea591084,Daily Revision,Strong,100,Perfect
int_8e1f9f07cc00,stu_4892fbb8,res_432f11de,Board Prep,Weak,10,Too Hard
int_460360198e87,stu_6b50467c,res_3334fdfc,Daily Revision,Weak,26,Too Hard
int_0fcf074a323b,stu_4c0afcc5,res_c30c32fb,Homework Help,Weak,80,Too Hard
int_3937a3e8e185,stu_f7509db3,res_c3008573,Homework Help,Average,85,Perfect
int_6fb982154502,stu_c504be22,res_5b4c8f7c,Homework Help,Strong,77,Too Slow
int_c7fd0d0fbd4c,stu_dd3cef3b,res_e4098264,Daily Revision,Weak,40,Too Hard
int_42b14aa24ae4,stu_2bd2ad20,res_1119d225,Board Prep,Strong,78,Too Slow
int_fc305ef6b1f4,stu_43f9ecb7,res_e668b640,Daily Revision,Average,93,Too Slow
int_bef68dcf3b2e,stu_cbc855be,res_dc468399,Daily Revision,Weak,55,Too Hard
int_8ff2925586ba,stu_2f3416e8,res_1e516fb1,Homework Help,Weak,12,Too Hard
int_dbe377687f91,stu_94f42aab,res_88cadf46,Board Prep,Average,90,Perfect
int_4c6488bd66d4,stu_39c0ff7c,res_2a0095f9,Board Prep,Weak,42,Perfect
int_cdf78ae1032d,stu_fb80a5be,res_0e122df7,Board Prep,Weak,82,Perfect
int_dc51706255c8,stu_3ceb50ce,res_767bba67,Daily Revision,Average,94,Perfect
int_94b55d382e4a,stu_d3a3471f,res_6b47bcf3,Board Prep,Average,59,Perfect
int_63b1ae9a4c02,stu_e7a58d71,res_27429473,Homework Help,Weak,95,Perfect
int_fd7a1b7494b3,stu_dd3cef3b,res_bfd4d74a,Daily Revision,Strong,78,Too Slow
int_8801145a47ff,stu_7bab3cea,res_8bc12fe7,Board Prep,Strong,48,Too Slow
int_b53d7a56719c,stu_d3736af1,res_db8c0bcf,Daily Revision,Strong,56,Too Slow
int_7b8f230332bb,stu_fb9c3b55,res_27429473,Homework Help,Weak,57,Too Hard
int_160f3d77ad26,stu_2f3416e8,res_35384b53,Homework Help,Weak,19,Too Hard
int_b79f89462d94,stu_9a5077ed,res_8e23c829,Board Prep,Strong,37,Too Slow
int_d95f2a96ac8a,stu_2888351b,res_75eb8779,Homework Help,Weak,69,Too Slow
int_0e1480dbe28b,stu_7ced45e3,res_ab17b043,Homework Help,Average,97,Perfect
int_3d55d7959862,stu_9838826c,res_598aaa62,Daily Revision,Strong,34,Too Slow
int_7459acc7d19a,stu_7a8a387f,res_e5decd1a,Homework Help,Average,46,Too Slow
int_1bccb76602e1,stu_0c14e3fc,res_5328c639,Homework Help,Average,83,Perfect
int_6e7f6eca6441,stu_0a574e0b,res_8f2bb379,Homework Help,Weak,81,Perfect
int_774d9f35bfd4,stu_15848bab,res_534ab9c1,Homework Help,Average,86,Perfect
int_d026c9dab40a,stu_a90cb56a,res_61d77b3a,Homework Help,Weak,96,Perfect
int_a83819af7291,stu_cb335ffe,res_134e3a51,Homework Help,Weak,71,Too Slow
int_30246d18cccf,stu_acb29492,res_19ed2dc8,Board Prep,Strong,51,Too Slow
int_59da974b40e4,stu_58d92de4,res_2ec56841,Homework Help,Weak,24,Too Hard
int_8b05a7a04375,stu_026df6f7,res_6de47c22,Daily Revision,Average,87,Perfect
int_35a37ed6bba7,stu_6d773053,res_4d1bfec5,Board Prep,Strong,77,Too Slow
int_5c8dac652170,stu_425dd701,res_a03a5cc2,Board Prep,Strong,55,Too Slow
int_5c5049217ba4,stu_f606a63a,res_9a316ddd,Daily Revision,Strong,81,Perfect
int_702f0ed397c9,stu_05f48627,res_8d34257b,Board Prep,Strong,95,Perfect
int_437af08f2b82,stu_53552d6e,res_bb881b3f,Homework Help,Strong,40,Too Slow
int_01cd7a83e433,stu_f1566e12,res_e66e2ef9,Homework Help,Strong,63,Perfect
int_8fbaa3c21a94,stu_5a53d887,res_87c4309d,Daily Revision,Weak,62,Perfect
int_1cfe68440660,stu_081316e8,res_11472c5f,Daily Revision,Average,92,Perfect
int_febb9a756fb7,stu_b67a2d38,res_33ff9c3d,Board Prep,Strong,68,Too Slow
int_48838711a71d,stu_953174a8,res_52200033,Homework Help,Strong,63,Too Slow
int_6f4f2e353997,stu_9d17996d,res_67ca2d02,Daily Revision,Weak,90,Perfect
int_531afe4d9d53,stu_7f227251,res_d2e618b3,Daily Revision,Average,85,Perfect
int_0d34d9ffa58e,stu_9fea2daa,res_e4098264,Board Prep,Weak,14,Too Hard
int_8490eb282d27,stu_a09edb88,res_700cc745,Daily Revision,Strong,74,Too Slow
int_c7ac1b371fa4,stu_50e9428a,res_d61d4bc2,Daily Revision,Average,94,Perfect
int_c2beceefc559,stu_cf0c9b2d,res_d6444eef,Homework Help,Strong,33,Too Slow
int_0e3e230c4da8,stu_3a921d70,res_5fceec42,Board Prep,Weak,89,Perfect
int_1d6be20e0d89,stu_fc6201c2,res_438465f0,Daily Revision,Average,79,Too Slow
int_7dc0102a1dd6,stu_021b2d4b,res_bfc3d3a6,Daily Revision,Weak,89,Too Slow
int_9ff4f5d749cf,stu_9cbd4901,res_f8ee02a9,Homework Help,Weak,73,Perfect
int_db2e3efbd990,stu_fce04371,res_c097c0c3,Board Prep,Weak,44,Too Slow
int_8c997a38fcfd,stu_818bade2,res_35fa0580,Board Prep,Average,94,Perfect
int_dbb5d57ea018,stu_ec062402,res_89028a5d,Board Prep,Strong,76,Too Hard
int_5ae35302c3dd,stu_2404b8c8,res_b6d6f80a,Daily Revision,Average,86,Perfect
int_cb217e582060,stu_2c548547,res_746abc2e,Board Prep,Strong,70,Too Slow
int_3285ca22a425,stu_23e13594,res_bfc3d3a6,Daily Revision,Average,95,Perfect
int_a936b7b93733,stu_2054b6e2,res_55e9d7a9,Daily Revision,Weak,47,Too Slow
int_37b3f8a4d6fe,stu_425dd701,res_ce7a89c8,Daily Revision,Weak,37,Too Hard
int_2b15275fc3b2,stu_eed87473,res_57d1605b,Homework Help,Strong,32,Too Slow
int_c483ecda9563,stu_a2ce2167,res_1192d924,Daily Revision,Average,50,Too Hard
int_425b17d18986,stu_ac7cb42f,res_a21aae05,Homework Help,Strong,32,Too Slow
int_a67e2f80fec1,stu_cb1b9eaa,res_1c38ab8c,Homework Help,Strong,39,Too Slow
int_3bfb2455e2d4,stu_6fe998d4,res_afa919ac,Board Prep,Average,78,Too Slow
int_3d11c31cecfc,stu_b1014f03,res_9a0388bd,Board Prep,Average,90,Perfect
int_ba9690f25697,stu_3977df5a,res_e8e735cf,Board Prep,Average,91,Perfect
int_16ca1e5f6832,stu_b110d275,res_552bd739,Daily Revision,Average,94,Perfect
int_7cfdc03d7b90,stu_f606a63a,res_9bf9f0f1,Board Prep,Average,82,Perfect
int_c74a30e35f2e,stu_bfd0e513,res_998171bc,Daily Revision,Average,85,Perfect
int_0ddfa1532695,stu_f410d130,res_8f526508,Board Prep,Average,80,Perfect
int_e77b34140078,stu_d7103e40,res_5221eb24,Board Prep,Average,61,Too Hard
int_113967dad342,stu_02ca30be,res_1436b5b8,Daily Revision,Average,100,Perfect
int_bb54f5510b23,stu_beb69f39,res_4f3a1e68,Board Prep,Average,99,Perfect
int_a7211962f052,stu_5c37f76c,res_c732e0b4,Board Prep,Strong,95,Perfect
int_d75ddf467042,stu_6f84cd9f,res_8dc12664,Daily Revision,Average,69,Too Hard
int_5afb0914a076,stu_b30f0caa,res_ee58f51f,Board Prep,Strong,45,Too Slow
int_801239ef66fa,stu_5b3af4a8,res_159fdfdf,Board Prep,Average,55,Too Hard
int_239b2b2f260c,stu_6fe998d4,res_7c865516,Daily Revision,Weak,85,Perfect
int_741c2e8490f2,stu_bdf174d4,res_3eefffc0,Board Prep,Strong,93,Perfect
int_f78f364c977c,stu_f909b8b5,res_bc157b22,Daily Revision,Average,62,Too Hard
int_311a43c6f3f8,stu_9a5077ed,res_dc0b809d,Daily Revision,Weak,99,Perfect
int_8b2f31b38eda,stu_cb13a009,res_f5bec8b7,Daily Revision,Weak,90,Perfect
int_31cb4529c70a,stu_19cc45b8,res_5328c639,Homework Help,Average,72,Too Slow
int_8f3276f1dde9,stu_2404b8c8,res_5e93c078,Daily Revision,Weak,89,Too Slow
int_39edbc9faba2,stu_a8193d78,res_c27cf80a,Board Prep,Weak,68,Too Hard
int_9b2bad98462d,stu_953174a8,res_f6eb01de,Board Prep,Weak,80,Perfect
int_2c0d5d375c20,stu_3cfc5715,res_5d5e9b35,Board Prep,Average,79,Too Slow
int_137ddce562fc,stu_f7b51069,res_f6083ecf,Homework Help,Weak,27,Too Hard
int_04286443ea4f,stu_73321337,res_f345ee81,Board Prep,Weak,50,Too Slow
int_25d832f40404,stu_8ab4e0fe,res_06fe1904,Homework Help,Strong,85,Perfect
int_bb6ce3838d21,stu_c9e1edb5,res_58060565,Daily Revision,Strong,68,Too Slow
int_848b9e2861cb,stu_8af40efb,res_c857a962,Daily Revision,Weak,61,Perfect
int_d6565063dc13,stu_39c0ff7c,res_2d3f4813,Homework Help,Average,88,Too Slow
int_3844fbbfda7a,stu_e565147c,res_39463359,Board Prep,Strong,95,Too Hard
int_3ee77ba2ede5,stu_0f7b7820,res_5e550292,Daily Revision,Average,70,Too Hard
int_94f166dea664,stu_75d311ed,res_ebe60ddb,Daily Revision,Strong,75,Too Slow
int_07740994c624,stu_1e059def,res_335f5cb0,Daily Revision,Strong,67,Too Slow
int_6a5950a35921,stu_1c7de2d3,res_d1bc9a3e,Board Prep,Weak,44,Too Hard
int_f24c78fd4283,stu_b5059990,res_fee87783,Homework Help,Weak,78,Too Slow
int_5523b1ea70da,stu_e980511d,res_3f69795a,Daily Revision,Average,56,Too Slow
int_1694f68724e5,stu_4ee9ddb2,res_a21c649c,Homework Help,Average,57,Too Slow
int_bbc4978c912b,stu_487ce82a,res_bf8f4c88,Daily Revision,Average,98,Perfect
int_5492cc89ab0c,stu_1e740d69,res_b28ae301,Board Prep,Average,99,Perfect
int_669753f35923,stu_25b04492,res_adabfccc,Daily Revision,Average,90,Perfect
int_cda2ffdf763e,stu_9838826c,res_d1bc9a3e,Homework Help,Average,84,Perfect
int_cc4505cc2909,stu_2a167cc9,res_112baee9,Daily Revision,Strong,62,Perfect
int_f081e67d7dc2,stu_c3009058,res_cb267fef,Homework Help,Strong,56,Too Slow
int_7c883a0e7b41,stu_f14f2871,res_3a8c049c,Homework Help,Strong,86,Perfect
int_0774b8506ac8,stu_2770d494,res_2553d981,Daily Revision,Weak,45,Too Slow
int_af7b8b8cba40,stu_f7a6dfea,res_45cacc81,Homework Help,Average,73,Perfect
int_4a874f4019b4,stu_7a8a387f,res_350b7e07,Homework Help,Strong,94,Perfect
int_3a03dc8b5c6f,stu_0b73284f,res_93de62b6,Homework Help,Average,89,Perfect
int_da942f47b5ea,stu_4accabcc,res_5e66b1cd,Homework Help,Strong,64,Too Slow
int_ad5bb2eabe98,stu_093131d3,res_62e6b0dd,Daily Revision,Strong,51,Too Slow
int_a2884a65f80e,stu_6d1a570e,res_8ced48d3,Daily Revision,Weak,27,Too Hard
int_87ffc7d6f725,stu_311beb1a,res_a0b3d1cc,Board Prep,Average,70,Perfect
int_54e58f2af8c8,stu_e3a2f939,res_e39a85eb,Homework Help,Weak,53,Too Hard
int_2b34eb268d0d,stu_adcaecf4,res_578c4bc3,Daily Revision,Weak,39,Too Hard
int_b809c773d12d,stu_12b350ec,res_ea3ba37d,Daily Revision,Weak,27,Too Hard
int_980e6b138e77,stu_1568975f,res_746abc2e,Board Prep,Weak,80,Perfect
int_5917d4d6bd0b,stu_374916f0,res_8f2bb379,Daily Revision,Strong,47,Too Slow
int_a997645a4d99,stu_f1bbdceb,res_df5d25d3,Daily Revision,Average,72,Too Slow
int_0a00a4044b8b,stu_f1566e12,res_536f0079,Board Prep,Strong,82,Too Slow
int_1e363174cc9e,stu_fac0b024,res_d4bca873,Daily Revision,Weak,84,Perfect
int_99a8eaf8a62f,stu_8c88f703,res_e3ef49ee,Daily Revision,Weak,90,Perfect
int_df767bda5bfd,stu_0ea9fd80,res_328a8a20,Board Prep,Strong,77,Too Slow
int_c10183a88617,stu_65b10015,res_41561342,Board Prep,Strong,67,Too Slow
int_db1eb501d3e1,stu_6d900d0a,res_950c39d7,Board Prep,Weak,50,Too Slow
int_3d6c2b5ae673,stu_707f7c29,res_77fbaae1,Board Prep,Average,95,Perfect
int_c46d4d1904cd,stu_bf378ea9,res_0eb75aab,Homework Help,Strong,70,Too Slow
int_7dc9044663c9,stu_8c733498,res_3a8c049c,Board Prep,Strong,84,Perfect
int_abc9340f2d40,stu_1959ac66,res_37de28c2,Homework Help,Average,77,Too Slow
int_7766bfb159bf,stu_29cdd9c3,res_0e402496,Homework Help,Strong,96,Perfect
int_47274b74ef52,stu_994922bf,res_ffbbd0f0,Daily Revision,Strong,86,Perfect
int_8bdd271d40a4,stu_ba2f8678,res_f08979f3,Board Prep,Strong,81,Perfect
int_8393023fbf81,stu_f3457db3,res_29145c3c,Homework Help,Weak,91,Perfect
int_b30dc07ae286,stu_8fbbd100,res_e7782514,Board Prep,Average,75,Too Hard
int_cd213cbc6205,stu_05401aed,res_91285e98,Daily Revision,Average,87,Too Hard
int_234e8c498259,stu_b5059990,res_aad65195,Homework Help,Strong,74,Too Slow
int_8b67bff120b3,stu_fd11f9d8,res_d0f51e09,Board Prep,Weak,34,Too Hard
int_606836d6e4b4,stu_1b28f22f,res_a99298c5,Homework Help,Average,48,Too Hard
int_62123ca0a179,stu_a0b2dbd3,res_deeeba44,Homework Help,Strong,79,Too Slow
int_01262b2dfc3a,stu_2f2097d9,res_9a316ddd,Board Prep,Strong,90,Perfect
int_5a10ed67f0f3,stu_e46d34a1,res_d831a30e,Daily Revision,Weak,81,Perfect
int_a2e31b4c2ddf,stu_728268f8,res_5a55cd1c,Board Prep,Strong,57,Too Slow
int_2b88f58a19bc,stu_bc3bc183,res_d1f72e21,Homework Help,Strong,57,Perfect
int_1cd37b5bab90,stu_305e49c1,res_fcd7ec8c,Board Prep,Average,84,Perfect
int_d8105934a922,stu_9065f0fe,res_ff24b9e7,Daily Revision,Strong,68,Too Hard
int_055a56c8974e,stu_97b4fec6,res_6709d6b8,Daily Revision,Weak,84,Perfect
int_4c3e23948de3,stu_29996ca4,res_b26a23f4,Homework Help,Strong,31,Too Slow
int_d455580f0c85,stu_50e9428a,res_d0f32c4c,Daily Revision,Weak,89,Perfect
